k,mean,std,se,count
1,0.1010207521115241,0.17336205126905171,0.01168806711219402,220
2,0.10077665242224615,0.15522941379632546,0.010465564943173232,220
3,0.10115549101860999,0.12521596052945397,0.008442058336716062,220
5,0.11341582880930759,0.1161680216148104,0.00783204641953321,220
10,0.11504268681812185,0.11932926199728851,0.00804517720264121,220
15,0.1115711278693496,0.11233229333185295,0.007573441671451582,220
20,0.11731981892690946,0.11092791474912396,0.007478758486719361,220
