k,mean,std,se,count
1,0.047782149541984884,0.14837841788697068,0.014837841788697067,100
2,0.04517804203051598,0.13566352412678773,0.013566352412678773,100
3,0.04706305941083435,0.1083007504053,0.010830075040530001,100
5,0.0591637867679103,0.11226986956875883,0.011226986956875882,100
10,0.06133836559719272,0.10509863533066881,0.01050986353306688,100
15,0.07200515726351842,0.09921334610229743,0.009921334610229742,100
20,0.07457687659190466,0.09167752057285065,0.009167752057285065,100
