prompt_idx,b1,b2,agent1_alignment,agent2_alignment,base_alignment,total_welfare,agent1_alignment_mean,agent2_alignment_mean,agent1_alignment_std,agent2_alignment_std
0,0.0,1.0,0.10791015625,0.2431640625,0.2099609375,0.2431640625,0.07978515625,0.231640625,0.029016501007249913,0.0077635183259186676
0,0.1,0.9,0.06298828125,0.255859375,0.1611328125,0.236572265625,0.08369140625,0.2271484375,0.028127288725234696,0.024194323619604583
0,0.2,0.8,0.11767578125,0.234375,0.1669921875,0.21103515625,0.10869140625,0.225,0.05079016973945929,0.016993309948559535
0,0.3,0.7,0.2373046875,0.2265625,0.1845703125,0.22978515624999996,0.1791015625,0.223828125,0.04856177354266806,0.013869250506755606
0,0.4,0.6,0.255859375,0.25390625,0.1865234375,0.2546875,0.199609375,0.24375,0.03459981747617703,0.022594288251066144
0,0.5,0.5,0.2490234375,0.2451171875,0.2109375,0.2470703125,0.2083984375,0.233984375,0.03360708992043081,0.010531491964486649
0,0.6,0.4,0.31640625,0.2119140625,0.1904296875,0.27460937500000004,0.2265625,0.23984375,0.0657894435681726,0.018381697699144505
0,0.7,0.3,0.228515625,0.2294921875,0.166015625,0.22880859374999998,0.1853515625,0.23828125,0.03168490102368728,0.010983615116408196
0,0.8,0.2,0.263671875,0.1015625,0.189453125,0.23125,0.216796875,0.12607421875,0.06281582192513968,0.034030085548116235
0,0.9,0.1,0.265625,0.10791015625,0.19140625,0.24985351562500002,0.2408203125,0.10849609375,0.019550771494128434,0.007368033011694898
0,1.0,0.0,0.28515625,0.1318359375,0.1982421875,0.28515625,0.2552734375,0.108984375,0.026767433831355887,0.013625584301100144
1,0.0,1.0,0.07666015625,0.169921875,0.181640625,0.169921875,0.0701171875,0.1556640625,0.026207560792179445,0.011463695774085304
1,0.1,0.9,0.07763671875,0.205078125,0.150390625,0.192333984375,0.067822265625,0.1828125,0.030848981821331507,0.014141623108766214
1,0.2,0.8,0.16796875,0.19921875,0.1728515625,0.19296875000000002,0.102197265625,0.1751953125,0.041114180095207085,0.01639345669354945
1,0.3,0.7,0.255859375,0.1640625,0.189453125,0.1916015625,0.238671875,0.1609375,0.014094337874033738,0.00405008620182182
1,0.4,0.6,0.263671875,0.1630859375,0.17578125,0.2033203125,0.2353515625,0.1654296875,0.02055426287094647,0.006122042194788078
1,0.5,0.5,0.26171875,0.1728515625,0.17578125,0.21728515625,0.2412109375,0.1533203125,0.016587195069788115,0.017537387691472627
1,0.6,0.4,0.251953125,0.173828125,0.1630859375,0.220703125,0.24375,0.1638671875,0.009098292733478215,0.013591420642739691
1,0.7,0.3,0.2578125,0.11962890625,0.1591796875,0.21635742187499998,0.2375,0.13525390625,0.014441903371718247,0.01605398654567734
1,0.8,0.2,0.2890625,0.10791015625,0.17578125,0.25283203125000003,0.259765625,0.137109375,0.02230114696615085,0.0240138088872413
1,0.9,0.1,0.287109375,0.0986328125,0.1708984375,0.26826171875000004,0.272265625,0.0900390625,0.014192111034831992,0.016768035971289917
1,1.0,0.0,0.2890625,0.09814453125,0.1787109375,0.2890625,0.275,0.1037109375,0.0133471480963046,0.01417950590663679
2,0.0,1.0,0.057861328125,0.287109375,0.162109375,0.287109375,0.05810546875,0.269140625,0.011170600871809908,0.014706914528919297
2,0.1,0.9,0.04736328125,0.28125,0.162109375,0.257861328125,0.052001953125,0.2509765625,0.016536810763550878,0.019773883526676354
2,0.2,0.8,0.10498046875,0.302734375,0.203125,0.26318359375,0.10322265625,0.276953125,0.03682819046318959,0.028883806743436494
2,0.3,0.7,0.11328125,0.310546875,0.1923828125,0.2513671875,0.1501953125,0.27578125,0.02685458095123449,0.020871953136550856
2,0.4,0.6,0.2177734375,0.2451171875,0.1826171875,0.2341796875,0.1951171875,0.2375,0.02180819528507109,0.019376830968172807
2,0.5,0.5,0.21875,0.27734375,0.171875,0.248046875,0.213671875,0.255078125,0.010728862474197085,0.021028998561928195
2,0.6,0.4,0.228515625,0.25390625,0.1796875,0.238671875,0.2109375,0.254296875,0.018020158288326107,0.013418409404154428
2,0.7,0.3,0.2412109375,0.19921875,0.1943359375,0.22861328124999997,0.2216796875,0.16962890625,0.01830891919848894,0.04263397193969255
2,0.8,0.2,0.2578125,0.09765625,0.1943359375,0.22578125000000002,0.2244140625,0.10498046875,0.034515647988335486,0.014041800629441803
2,0.9,0.1,0.251953125,0.08642578125,0.17578125,0.235400390625,0.2380859375,0.0892578125,0.011787720216411255,0.0106887877285251
2,1.0,0.0,0.267578125,0.09228515625,0.1884765625,0.267578125,0.2373046875,0.08779296875,0.01942107597788217,0.01685596098462891
3,0.0,1.0,0.0947265625,0.259765625,0.2431640625,0.259765625,0.05966796875,0.2439453125,0.023186033999429066,0.014736066023389796
