k,mean,std,se,count
1,0.00972929635797343,0.08395578236836498,0.010838644897683061,60
2,0.017458902789375695,0.0796910709627146,0.010288073022667571,60
3,0.019473293382609978,0.06765548859826694,0.00873428602068712,60
5,0.012275089002639813,0.04607137803685089,0.005947789329118321,60
10,0.01662997169373672,0.056588362077100066,0.007305526130458796,60
15,0.015142009780727855,0.04882200418333597,0.006302893637684301,60
20,0.018695027344459814,0.04344365484204341,0.005608551723387245,60
