k,mean,std,se,count
1,0.07179801840295674,0.22638289218452293,0.00924204287245965,600
2,0.0692791350440302,0.16906242837161733,0.006901944736438207,600
3,0.06431121055241219,0.15263136929861526,0.006231149558731823,600
5,0.07268386073579575,0.14837751207662545,0.006057486564856353,600
10,0.07650129194895552,0.1273241417771709,0.005197986321530855,600
15,0.07523807619168511,0.12088389283117597,0.004935064259294441,600
20,0.07973043477518504,0.11547706438026976,0.004714331412103058,600
